time_s,lat,lon,alt_m,pressure_hpa,temp_c,humidity_pct,thermal_c,checksum,status,packet
0.0,35.6781,10.0963,65.0,1005.5,14.6,44.0,31.9,8769,A,"TUN,35.6781,10.0963,65,1005.5,14.6,44.0,31.9,8769,A"
10.0,35.678091,10.096777,123.0,998.6,14.2,43.2,31.8,8748,A,"TUN,35.6781,10.0968,123,998.6,14.2,43.2,31.8,8748,A"
20.0,35.678042,10.097275,181.0,991.7,13.8,42.4,31.8,8730,A,"TUN,35.6780,10.0973,181,991.7,13.8,42.4,31.8,8730,A"
30.0,35.678043,10.097722,239.0,984.9,13.4,41.6,31.7,8712,A,"TUN,35.6780,10.0977,239,984.9,13.4,41.6,31.7,8712,A"
40.0,35.678024,10.098233,297.0,978.2,13.1,40.8,31.6,8696,A,"TUN,35.6780,10.0982,297,978.2,13.1,40.8,31.6,8696,A"
50.0,35.67802,10.098754,355.0,971.5,12.7,40.0,31.5,8679,A,"TUN,35.6780,10.0988,355,971.5,12.7,40.0,31.5,8679,A"
60.0,35.677978,10.09931,413.0,964.8,12.3,39.2,31.4,8662,A,"TUN,35.6780,10.0993,413,964.8,12.3,39.2,31.4,8662,A"
70.0,35.677931,10.099856,471.0,958.2,11.9,38.5,31.4,8648,A,"TUN,35.6779,10.0999,471,958.2,11.9,38.5,31.4,8648,A"
80.0,35.677933,10.100429,529.0,951.6,11.6,37.7,31.3,8634,A,"TUN,35.6779,10.1004,529,951.6,11.6,37.7,31.3,8634,A"
90.0,35.67794,10.101012,587.0,945.1,11.2,37.0,31.2,8621,A,"TUN,35.6779,10.1010,587,945.1,11.2,37.0,31.2,8621,A"
100.0,35.677926,10.101623,645.0,938.6,10.8,36.3,31.1,8608,A,"TUN,35.6779,10.1016,645,938.6,10.8,36.3,31.1,8608,A"
110.0,35.67793,10.102216,703.0,932.2,10.4,35.6,31.1,8597,A,"TUN,35.6779,10.1022,703,932.2,10.4,35.6,31.1,8597,A"
120.0,35.677924,10.102865,761.0,925.8,10.1,34.9,31.0,8586,A,"TUN,35.6779,10.1029,761,925.8,10.1,34.9,31.0,8586,A"
130.0,35.677925,10.103476,819.0,919.5,9.7,34.2,30.9,8575,A,"TUN,35.6779,10.1035,819,919.5,9.7,34.2,30.9,8575,A"
140.0,35.677909,10.104129,877.0,913.2,9.3,33.6,30.8,8566,A,"TUN,35.6779,10.1041,877,913.2,9.3,33.6,30.8,8566,A"
150.0,35.677894,10.104792,935.0,906.9,8.9,33.0,30.8,8556,A,"TUN,35.6779,10.1048,935,906.9,8.9,33.0,30.8,8556,A"
160.0,35.677906,10.105526,993.0,900.7,8.5,32.3,30.7,8549,A,"TUN,35.6779,10.1055,993,900.7,8.5,32.3,30.7,8549,A"
170.0,35.67793,10.106183,1051.0,894.5,8.2,31.7,30.6,8541,A,"TUN,35.6779,10.1062,1051,894.5,8.2,31.7,30.6,8541,A"
180.0,35.677899,10.106892,1109.0,888.4,7.8,31.1,30.5,8533,A,"TUN,35.6779,10.1069,1109,888.4,7.8,31.1,30.5,8533,A"
190.0,35.677928,10.107588,1167.0,882.3,7.4,30.5,30.4,8527,A,"TUN,35.6779,10.1076,1167,882.3,7.4,30.5,30.4,8527,A"
200.0,35.677914,10.108273,1225.0,876.3,7.0,29.9,30.4,8522,A,"TUN,35.6779,10.1083,1225,876.3,7.0,29.9,30.4,8522,A"
210.0,35.677904,10.109027,1283.0,870.3,6.7,29.3,30.3,8518,A,"TUN,35.6779,10.1090,1283,870.3,6.7,29.3,30.3,8518,A"
220.0,35.677906,10.109742,1341.0,864.3,6.3,28.8,30.2,8513,A,"TUN,35.6779,10.1097,1341,864.3,6.3,28.8,30.2,8513,A"
230.0,35.67791,10.110499,1399.0,858.4,5.9,28.2,30.1,8508,A,"TUN,35.6779,10.1105,1399,858.4,5.9,28.2,30.1,8508,A"
240.0,35.677915,10.111298,1457.0,852.5,5.5,27.7,30.1,8506,A,"TUN,35.6779,10.1113,1457,852.5,5.5,27.7,30.1,8506,A"
250.0,35.677927,10.112102,1515.0,846.7,5.2,27.2,30.0,8506,A,"TUN,35.6779,10.1121,1515,846.7,5.2,27.2,30.0,8506,A"
260.0,35.677922,10.112905,1573.0,840.8,4.8,26.6,29.9,8502,A,"TUN,35.6779,10.1129,1573,840.8,4.8,26.6,29.9,8502,A"
270.0,35.677949,10.113649,1631.0,835.1,4.4,26.1,29.8,8500,A,"TUN,35.6779,10.1136,1631,835.1,4.4,26.1,29.8,8500,A"
280.0,35.67799,10.114445,1689.0,829.4,4.0,25.6,29.7,8499,A,"TUN,35.6780,10.1144,1689,829.4,4.0,25.6,29.7,8499,A"
290.0,35.67796,10.115263,1747.0,823.7,3.6,25.1,29.7,8499,A,"TUN,35.6780,10.1153,1747,823.7,3.6,25.1,29.7,8499,A"
300.0,35.677949,10.116069,1805.0,818.0,3.3,24.7,29.6,8500,A,"TUN,35.6779,10.1161,1805,818.0,3.3,24.7,29.6,8500,A"
310.0,35.677985,10.116851,1863.0,812.4,2.9,24.2,29.5,8500,A,"TUN,35.6780,10.1169,1863,812.4,2.9,24.2,29.5,8500,A"
320.0,35.677991,10.117726,1921.0,806.9,2.5,23.7,29.4,8502,A,"TUN,35.6780,10.1177,1921,806.9,2.5,23.7,29.4,8502,A"
330.0,35.677992,10.118639,1979.0,801.3,2.1,23.3,29.4,8505,A,"TUN,35.6780,10.1186,1979,801.3,2.1,23.3,29.4,8505,A"
340.0,35.678042,10.119515,2037.0,795.8,1.8,22.8,29.3,8509,A,"TUN,35.6780,10.1195,2037,795.8,1.8,22.8,29.3,8509,A"
350.0,35.678086,10.120459,2095.0,790.4,1.4,22.4,29.2,8513,A,"TUN,35.6781,10.1205,2095,790.4,1.4,22.4,29.2,8513,A"
360.0,35.678163,10.121315,2153.0,785.0,1.0,22.0,29.1,8518,A,"TUN,35.6782,10.1213,2153,785.0,1.0,22.0,29.1,8518,A"
370.0,35.678182,10.122204,2211.0,779.6,0.6,21.5,29.1,8522,A,"TUN,35.6782,10.1222,2211,779.6,0.6,21.5,29.1,8522,A"
380.0,35.678197,10.123156,2269.0,774.2,0.3,21.1,29.0,8527,A,"TUN,35.6782,10.1232,2269,774.2,0.3,21.1,29.0,8527,A"
390.0,35.678235,10.124092,2327.0,768.9,-0.1,20.7,28.9,8533,A,"TUN,35.6782,10.1241,2327,768.9,-0.1,20.7,28.9,8533,A"
400.0,35.678297,10.12509,2385.0,763.7,-0.5,20.3,28.8,8540,A,"TUN,35.6783,10.1251,2385,763.7,-0.5,20.3,28.8,8540,A"
410.0,35.678377,10.126092,2443.0,758.4,-0.9,19.9,28.7,8547,A,"TUN,35.6784,10.1261,2443,758.4,-0.9,19.9,28.7,8547,A"
420.0,35.678444,10.127067,2501.0,753.2,-1.3,19.6,28.7,8557,A,"TUN,35.6784,10.1271,2501,753.2,-1.3,19.6,28.7,8557,A"
430.0,35.678477,10.128015,2559.0,748.1,-1.6,19.2,28.6,8566,A,"TUN,35.6785,10.1280,2559,748.1,-1.6,19.2,28.6,8566,A"
440.0,35.678534,10.129011,2617.0,742.9,-2.0,18.8,28.5,8574,A,"TUN,35.6785,10.1290,2617,742.9,-2.0,18.8,28.5,8574,A"
450.0,35.678577,10.13007,2675.0,737.9,-2.4,18.4,28.4,8583,A,"TUN,35.6786,10.1301,2675,737.9,-2.4,18.4,28.4,8583,A"
460.0,35.678648,10.131149,2733.0,732.8,-2.8,18.1,28.4,8595,A,"TUN,35.6786,10.1311,2733,732.8,-2.8,18.1,28.4,8595,A"
470.0,35.678717,10.132184,2791.0,727.8,-3.1,17.7,28.3,8606,A,"TUN,35.6787,10.1322,2791,727.8,-3.1,17.7,28.3,8606,A"
480.0,35.678841,10.133155,2849.0,722.8,-3.5,17.4,28.2,8617,A,"TUN,35.6788,10.1332,2849,722.8,-3.5,17.4,28.2,8617,A"
490.0,35.678953,10.134161,2907.0,717.8,-3.9,17.1,28.1,8628,A,"TUN,35.6790,10.1342,2907,717.8,-3.9,17.1,28.1,8628,A"
500.0,35.679074,10.135272,2965.0,712.9,-4.3,16.7,28.0,8640,A,"TUN,35.6791,10.1353,2965,712.9,-4.3,16.7,28.0,8640,A"
510.0,35.679091,10.136368,3023.0,708.0,-4.6,16.4,27.4,8648,A,"TUN,35.6791,10.1364,3023,708.0,-4.6,16.4,27.4,8648,A"
520.0,35.679138,10.137489,3081.0,703.2,-5.0,16.1,28.2,8671,A,"TUN,35.6791,10.1375,3081,703.2,-5.0,16.1,28.2,8671,A"
530.0,35.67923,10.138597,3139.0,698.4,-5.4,15.8,28.2,8686,A,"TUN,35.6792,10.1386,3139,698.4,-5.4,15.8,28.2,8686,A"
540.0,35.679332,10.139728,3197.0,693.6,-5.8,15.5,28.1,8701,A,"TUN,35.6793,10.1397,3197,693.6,-5.8,15.5,28.1,8701,A"
550.0,35.679522,10.140978,3255.0,688.8,-6.2,15.2,28.3,8720,A,"TUN,35.6795,10.1410,3255,688.8,-6.2,15.2,28.3,8720,A"
560.0,35.679609,10.142246,3313.0,684.1,-6.5,14.9,27.7,8733,A,"TUN,35.6796,10.1422,3313,684.1,-6.5,14.9,27.7,8733,A"
570.0,35.679782,10.143461,3371.0,679.4,-6.9,14.6,28.6,8759,A,"TUN,35.6798,10.1435,3371,679.4,-6.9,14.6,28.6,8759,A"
580.0,35.679917,10.144752,3429.0,674.8,-7.3,14.3,27.7,8770,A,"TUN,35.6799,10.1448,3429,674.8,-7.3,14.3,27.7,8770,A"
590.0,35.680025,10.146084,3487.0,670.1,-7.7,14.1,28.2,8794,A,"TUN,35.6800,10.1461,3487,670.1,-7.7,14.1,28.2,8794,A"
600.0,35.680162,10.147531,3545.0,665.5,-8.0,13.8,27.5,8809,A,"TUN,35.6802,10.1475,3545,665.5,-8.0,13.8,27.5,8809,A"
610.0,35.680263,10.148829,3603.0,661.0,-8.4,13.5,27.7,8831,A,"TUN,35.6803,10.1488,3603,661.0,-8.4,13.5,27.7,8831,A"
