time_s,lat,lon,alt_m,phase
0.0,35.6781,10.0963,65.0,ascent
10.0,35.678091,10.096777,123.0,ascent
20.0,35.678042,10.097275,181.0,ascent
30.0,35.678043,10.097722,239.0,ascent
40.0,35.678024,10.098233,297.0,ascent
50.0,35.67802,10.098754,355.0,ascent
60.0,35.677978,10.09931,413.0,ascent
70.0,35.677931,10.099856,471.0,ascent
80.0,35.677933,10.100429,529.0,ascent
90.0,35.67794,10.101012,587.0,ascent
100.0,35.677926,10.101623,645.0,ascent
110.0,35.67793,10.102216,703.0,ascent
120.0,35.677924,10.102865,761.0,ascent
130.0,35.677925,10.103476,819.0,ascent
140.0,35.677909,10.104129,877.0,ascent
150.0,35.677894,10.104792,935.0,ascent
160.0,35.677906,10.105526,993.0,ascent
170.0,35.67793,10.106183,1051.0,ascent
180.0,35.677899,10.106892,1109.0,ascent
190.0,35.677928,10.107588,1167.0,ascent
200.0,35.677914,10.108273,1225.0,ascent
210.0,35.677904,10.109027,1283.0,ascent
220.0,35.677906,10.109742,1341.0,ascent
230.0,35.67791,10.110499,1399.0,ascent
240.0,35.677915,10.111298,1457.0,ascent
250.0,35.677927,10.112102,1515.0,ascent
260.0,35.677922,10.112905,1573.0,ascent
270.0,35.677949,10.113649,1631.0,ascent
280.0,35.67799,10.114445,1689.0,ascent
290.0,35.67796,10.115263,1747.0,ascent
300.0,35.677949,10.116069,1805.0,ascent
310.0,35.677985,10.116851,1863.0,ascent
320.0,35.677991,10.117726,1921.0,ascent
330.0,35.677992,10.118639,1979.0,ascent
340.0,35.678042,10.119515,2037.0,ascent
350.0,35.678086,10.120459,2095.0,ascent
360.0,35.678163,10.121315,2153.0,ascent
370.0,35.678182,10.122204,2211.0,ascent
380.0,35.678197,10.123156,2269.0,ascent
390.0,35.678235,10.124092,2327.0,ascent
400.0,35.678297,10.12509,2385.0,ascent
410.0,35.678377,10.126092,2443.0,ascent
420.0,35.678444,10.127067,2501.0,ascent
430.0,35.678477,10.128015,2559.0,ascent
440.0,35.678534,10.129011,2617.0,ascent
